plantID,capacity,fixed_cost,variable_cost
0,199,9.14,15.57
1,123,12.15,3.89
2,590,9.53,21.11
3,301,6.97,66.71
4,102,21.58,3.37
5,145,17.87,22.70
6,36,12.66,15.02
7,60,11.35,12.45
8,12,9.66,9.82
9,340,15.17,7.23
10,27,12.18,219.22
11,264,7.21,185.20
12,285,12.58,13.96
13,276,15.48,10.12
14,233,17.12,15.17
15,352,5.49,79.11
16,389,10.22,8.66
17,29,9.51,1.92
18,420,7.77,0.71
19,146,10.19,18.10
20,57,6.82,4.54
21,253,14.82,3.14
22,264,6.20,5.56
23,154,6.46,2.33
24,125,12.40,8.11
25,30,7.38,4.02
26,618,9.40,82.82
27,27,25.81,57.65
28,196,9.32,1.83
29,280,6.73,2.09
30,370,27.10,11.88
31,82,9.22,17.98
32,43,5.99,4.12
33,163,5.76,3.09
34,142,30.41,14.30
35,127,34.42,2.77
36,197,3.42,30.03
37,231,13.22,27.27
38,352,13.25,3.28
39,31,7.27,16.24
40,242,16.09,2.57
41,267,15.14,0.42
42,219,4.60,2.51
43,294,17.98,4.82
44,189,11.13,29.84
45,102,7.43,14.77
46,65,6.28,2.42
47,118,7.00,6.82
48,215,22.30,3.26
49,168,10.59,0.65
